PART_NO,KPDS,CAR_CLASS,PIDT,REPAIR_TYPE,TYPE_CODE,CONSTRUCT_NAME
96536W7E98,垫片（刹车钳修理包）,A0-SEDAN,15-Mar-08,维修,机能件,易损件
95536W12E9,垫片（刹车钳修理包）,B-MPV,17-Oct-01,维修,机能件,易损件
99536XLEL9,垫片（刹车钳修理包）,B-SEDAN,27-Sep-16,维修,机能件,易损件
94533WJNA9,后制动软管,B-MPV,11-Nov-04,维修,机能件,底盘
94526WZ598,垫片（刹车钳修理包）,A-SEDAN,1-Jan-99,维修,机能件,底盘
91526WD6E9,后制动钳组件,B-MPV,17-Oct-01,维修,机能件,底盘
99526XE9E4,垫片（刹车钳修理包）,B-SEDAN,17-Dec-07,维修,机能件,底盘
99398XFXL9,右前大灯框架,A-SEDAN,9-Jun-18,维修,钣金件,车体
94368X3TL9,右侧下车身骨架,A-SEDAN,1-Feb-13,维修,钣金件,车体
91363X4LL9,右后门框,A0-SEDAN,18-Mar-14,维修,钣金件,车体
93354X4LL9,左前门框,A0-SEDAN,18-Mar-14,维修,钣金件,车体
97344X2NL9,后地板,A0-SUV,27-Aug-14,维修,钣金件,车体
97344XQDL9,后地板,B-SEDAN,9-Sep-19,维修,钣金件,车体
98343XFXL9,后地板右后纵梁,A-SEDAN,9-Jun-18,维修,钣金件,车体
97343XZEE9,支架,B-SEDAN,13-Jan-18,维修,钣金件,车体
97342XZEE9,支架,B-SEDAN,13-Jan-18,维修,钣金件,车体
93325X4E69,右前轮下加强件,A0-SEDAN,18-Mar-14,维修,机能件,车体
97325X3HL9,右前车轮壳支架,B-MPV,3-Jun-14,维修,机能件,车体
93315XFXL9,左前轮下加强件,A-SEDAN,9-Jun-18,维修,机能件,车体
94315XLEL9,左前轮下加强件,B-SUV,5-Aug-16,维修,机能件,车体
99315XZIL9,左前轮下加强件,B-SEDAN,13-Jan-18,维修,机能件,车体
92304XE9E9,左前车轮壳支架,B-SEDAN,22-Aug-07,维修,机能件,车体
94288X7NKL,前保险杠,B-SEDAN,10-May-18,维修,钣金件,车体
91288XLEL2,前保险杠,B-SUV,3-Jan-20,维修,钣金件,车体
98288XPSL9,前保险杠,B-MPV,18-Feb-19,维修,钣金件,车体
92288XZIKL,前保险杠,B-SEDAN,23-May-18,维修,钣金件,车体
97284X29L9,后保险杠下面板,B-SEDAN,9-Sep-19,维修,钣金件,车体
92284XZIL4,后保险杠,B-SEDAN,13-Jan-18,维修,钣金件,车体
94284XZIL3,后保险杠,B-SEDAN,6-Mar-18,维修,钣金件,车体
91278X4EK9,智能钥匙,A0-SEDAN,20-Mar-19,维修,易损件,电器
92268WEE99,前挡风玻璃密封条,A0-SEDAN,19-Mar-03,维修,易损件,车体
93268WHE99,前挡风玻璃密封条,B-SEDAN,30-Jul-02,维修,易损件,车体
91185XZIL9,右前安全带,B-SEDAN,13-Jan-18,维修,钣金件,车体
93181XFXL9,左前安全带总成,A-SEDAN,19-Jul-18,维修,钣金件,车体
988894ECL9,缸盖衬垫套件,A-SEDAN,4-Jul-18,维修,易损件,车体
927704N599,输入轴密封修理包,B-SUV,27-Sep-16,维修,易损件,变速箱
957624N598,油塞螺栓,B-SUV,15-May-17,维修,易损件,变速箱
97649X7EL8,全车锁,B-SEDAN,10-Jul-13,维修,机能件,车体
98649X3TL7,全车锁,A-SEDAN,20-Aug-15,维修,机能件,车体
98649X0NL6,全车锁,A0-SEDAN,2-Jun-15,维修,机能件,车体
96649XE9L5,全车锁,B-SEDAN,18-Oct-10,维修,机能件,车体
96487X7E68,橡胶防尘罩,B-SEDAN,29-May-14,维修,机能件,底盘
96464X5S69,转向横拉杆铰接头,B-SEDAN,13-Jan-15,维修,机能件,易损件
91H98XF9KL,空调滤芯,B-SEDAN,9-Jun-14,通竞,空调滤,保养
99H98XF9KL,空调滤芯,B-SEDAN,9-Jun-14,通竞,空调滤,保养
92H98XR5KL,空调滤芯,A0-SEDAN,9-Jun-14,通竞,空调滤,保养
94H98XR5KL,空调滤芯,A0-SEDAN,9-Jun-14,通竞,空调滤,保养
97L98XR5KL,空调滤芯,A0-SEDAN,15-Sep-15,通竞,空调滤,保养
87892TAE69,密封垫圈,B-SEDAN,24-Oct-00,维修,机能件,发动机
81799V59E9,油底壳,B-SUV,17-Oct-07,维修,钣金件,发动机
81799VDT97,油底壳,B-SEDAN,1-Nov-07,维修,钣金件,发动机
87796VINA9,Ｏ形圈,A-SEDAN,19-Mar-03,维修,机能件,易损件
845894V297,链条盖总成,A0-SEDAN,5-Mar-14,维修,机能件,发动机
835864V999,O形圈,A-SEDAN,14-Jan-15,维修,机能件,发动机
884884ECL9,端盖,A-SEDAN,4-Jul-18,维修,机能件,发动机
889694E7E9,缸盖罩密封条套件,B-MPV,30-Oct-13,维修,机能件,发动机
84969TSG99,缸盖罩垫,B-MPV,30-Jul-02,维修,机能件,发动机
81789TD899,气门油封,B-SEDAN,1-Jan-99,维修,易损件,发动机
